date,side,tic,name,qty,price,buy_hit,sell_hit,signals,reason,pnl_pct,hold_days
2026-06-04,BUY,035420,NAVER,30,267500.0,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",매수6개 1위,,
2026-06-05,SELL,035420,NAVER,30,254500.0,,,,손절(갭)-4.9%,-4.859813084112153,1.0
2026-06-05,BUY,011200,HMM,387,19670.0,6.0,1.0,"지지반등,RSI탈출,MACD,BB회귀,200일선,STO_GC",매수6개 1위,,
2026-06-08,SELL,011200,HMM,387,18500.0,,,,손절(갭)-5.9%,-5.948144382308085,1.0
2026-06-08,BUY,024110,기업은행,356,20050.0,7.0,0.0,"지지반등,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",매수7개 1위,,
2026-06-09,SELL,024110,기업은행,356,20651.5,,,,익절+3%,3.0000000000000027,1.0
2026-06-09,BUY,035420,NAVER,25,286000.0,4.0,1.0,"GC,MACD,BB회귀,W패턴",매수4개 1위,,
2026-06-10,SELL,035420,NAVER,25,245000.0,,,,손절(갭)-14.3%,-14.335664335664333,1.0
2026-06-10,BUY,024110,기업은행,308,20450.0,7.0,0.0,"지지반등,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",매수7개 1위,,
2026-06-12,SELL,024110,기업은행,308,21150.0,,,,익절(갭)+3.4%,3.4229828850855792,2.0
2026-06-12,BUY,024110,기업은행,307,21150.0,7.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",매수7개 1위,,
2026-06-15,SELL,024110,기업은행,307,22200.0,,,,익절(갭)+5.0%,4.964539007092195,1.0
2026-06-15,BUY,138040,메리츠금융지주,61,110100.0,7.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",매수7개 1위,,
2026-06-16,SELL,138040,메리츠금융지주,61,113403.0,,,,익절+3%,3.0000000000000027,1.0
2026-06-16,BUY,011200,HMM,332,21050.0,7.0,0.0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",매수7개 1위,,
2026-06-17,SELL,011200,HMM,332,21900.0,,,,익절(갭)+4.0%,4.0380047505938155,1.0
2026-06-17,BUY,011200,HMM,331,21900.0,7.0,0.0,"GC,RSI탈출,MACD,BB회귀,거래량돌파,W패턴,STO_GC",매수7개 1위,,
2026-06-18,SELL,011200,HMM,331,21243.0,,,,손절-3%,-3.0000000000000027,1.0
2026-06-18,BUY,068270,셀트리온,40,173200.0,6.0,1.0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",매수6개 1위,,
2026-06-19,SELL,068270,셀트리온,40,168004.0,,,,손절-3%,-3.0000000000000027,1.0
2026-06-19,BUY,207940,삼성바이오로직스,4,1442000.0,5.0,1.0,"GC,RSI탈출,MACD,BB회귀,STO_GC",매수5개 1위,,
2026-06-22,SELL,207940,삼성바이오로직스,4,1374000.0,,,,손절(갭)-4.7%,-4.715672676837723,1.0
2026-06-22,BUY,373220,LG에너지솔루션,16,407500.0,6.0,2.0,"MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",매수6개 1위,,
2026-06-23,SELL,373220,LG에너지솔루션,16,387500.0,,,,손절(갭)-4.9%,-4.907975460122705,1.0
2026-06-23,BUY,015760,한국전력,160,38500.0,5.0,1.0,"GC,MACD,BB회귀,W패턴,STO_GC",매수5개 1위,,
2026-06-24,SELL,015760,한국전력,160,36650.0,,,,손절(갭)-4.8%,-4.805194805194802,1.0
2026-06-25,BUY,207940,삼성바이오로직스,4,1383000.0,5.0,1.0,"GC,RSI탈출,MACD,BB회귀,STO_GC",매수5개 1위,,
2026-06-26,SELL,207940,삼성바이오로직스,4,1341510.0,,,,손절-3%,-3.0000000000000027,1.0
2026-06-26,BUY,000270,기아,41,138200.0,6.0,4.0,"GC,지지반등,MACD,BB회귀,200일선,STO_GC",매수6개 1위,,
2026-06-29,SELL,000270,기아,41,134054.0,,,,손절-3%,-3.0000000000000027,1.0
2026-06-30,BUY,373220,LG에너지솔루션,14,391500.0,7.0,1.0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",매수7개 1위,,
2026-07-01,SELL,373220,LG에너지솔루션,14,366500.0,,,,손절(갭)-6.4%,-6.385696040868449,1.0
2026-07-01,BUY,034730,SK,6,842000.0,4.0,1.0,"GC,MACD,BB회귀,W패턴",매수4개 1위,,
2026-07-02,SELL,034730,SK,6,713000.0,,,,손절(갭)-15.3%,-15.320665083135388,1.0
2026-07-02,BUY,068270,셀트리온,25,174600.0,5.0,1.0,"GC,RSI탈출,MACD,BB회귀,STO_GC",매수5개 1위,,
2026-07-03,SELL,068270,셀트리온,25,183700.0,,,,익절(갭)+5.2%,5.2119129438717104,1.0
2026-07-03,BUY,068270,셀트리온,24,183700.0,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,200일선,STO_GC",매수6개 1위,,
2026-07-06,SELL,068270,셀트리온,24,178189.0,,,,손절-3%,-3.0000000000000027,1.0
2026-07-06,BUY,068270,셀트리온,24,183400.0,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,200일선,STO_GC",매수6개 1위,,
