date,side,tic,name,qty,price,buy_hit,signals,reason,amount,pnl_pct,hold_days
2026-02-26,BUY,000270,기아,1,189098.7041413835,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,189098.7041413835,,
2026-03-03,SELL,003550,LG,8,105158.76432164635,,,익절+30%(익일시가),,32.01064353593932,114.0
2026-03-03,BUY,035720,카카오,7,60814.78266792705,7.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",TOP5 1/5 배분,425703.4786754894,,
2026-03-03,BUY,051910,LG화학,1,399431.2993421053,4.0,"GC,MACD,BB회귀,W패턴",TOP5 1/5 배분,399431.2993421053,,
2026-03-03,BUY,373220,LG에너지솔루션,1,414500.0,4.0,"GC,MACD,W패턴,STO_GC",TOP5 1/5 배분,414500.0,,
2026-03-04,SELL,068270,셀트리온,8,190392.8572265625,,,손절-10%,,-9.999999999999998,37.0
2026-03-04,SELL,373220,LG에너지솔루션,3,360750.0,,,손절-10%,,-9.999999999999998,31.0
2026-03-04,SELL,051910,LG화학,4,313881.4668443456,,,손절-10%,,-9.999999999999998,11.0
2026-03-04,SELL,035720,카카오,7,53125.55851487779,,,손절(갭)-12.6%,,-12.643676119070403,1.0
2026-03-04,BUY,000270,기아,6,160551.8858886407,3.0,"GC,MACD,W패턴",TOP5 1/5 배분,963311.3153318443,,
2026-03-04,BUY,051910,LG화학,3,340808.3123982085,3.0,"GC,MACD,W패턴",TOP5 1/5 배분,1022424.9371946254,,
2026-03-04,BUY,035720,카카오,20,53125.55851487779,3.0,"GC,MACD,STO_GC",TOP5 1/5 배분,1062511.1702975559,,
2026-03-04,BUY,373220,LG에너지솔루션,2,380000.0,3.0,"GC,MACD,STO_GC",TOP5 1/5 배분,760000.0,,
2026-03-06,SELL,051910,LG화학,3,306727.4811583876,,,손절-10%,,-10.000000000000009,2.0
2026-03-06,BUY,373220,LG에너지솔루션,1,372000.0,5.0,"GC,MACD,BB회귀,200일선,STO_GC",TOP5 1/5 배분,372000.0,,
2026-03-06,BUY,035720,카카오,9,50429.33768656716,5.0,"GC,RSI탈출,MACD,BB회귀,STO_GC",TOP5 1/5 배분,453864.03917910444,,
2026-03-06,BUY,006400,삼성SDI,1,388500.0,4.0,"MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,388500.0,,
2026-03-23,SELL,035720,카카오,29,47059.920294103256,,,손절-10%,,-9.999999999999986,13.0
2026-03-23,BUY,096770,SK이노베이션,4,111100.0,6.0,"GC,RSI탈출,BB회귀,200일선,STO_GC,피보나치",TOP5 1/5 배분,444400.0,,
2026-03-23,BUY,024110,기업은행,22,22645.324295010847,5.0,"RSI탈출,BB회귀,W패턴,STO_GC,피보나치",TOP5 1/5 배분,498197.1344902386,,
2026-03-23,BUY,373220,LG에너지솔루션,1,362000.0,4.0,"BB회귀,W패턴,200일선,STO_GC",TOP5 1/5 배분,362000.0,,
